날짜,식이구분,조식,중식,석식
2025-01-01,일반식,쌀밥+굴두부국+조기튀김+진미채볶음+궁채들깨나물+포기김치,쌀밥1/2+황태채계란국+카레치킨+마요소스+골뱅이비빔국수+시금치나물+포기김치,잡곡밥+매콤샤브샤브국+간장등갈비찜+청포묵김가루무침+들기름묵은지무침+깍두기
2025-01-01,당뇨식,보리밥+굴두부국+조기구이+맛살볶음+궁채들깨나물+포기김치,보리밥+황태채계란국+간장닭살볶음+물만두찜+시금치나물+포기김치,잡곡밥+매콤샤브샤브국+간장등갈비찜+청포묵김가루무침+들기름묵은지무침+깍두기
2025-01-01,연식,쌀죽+굴두부국+조기튀김+맛살볶음+궁채들깨나물+백김치,흑임자죽+황태채계란국+간장닭살볶음+물만두찜+시금치나물+백김치,새우살죽+샤브샤브국+간장등갈비찜+청포묵김가루무침+애호박나물+백김치
2025-01-01,저염식,쌀밥+굴두부국+조기튀김+맛살볶음+궁채들깨나물+백김치,쌀밥+황태채계란국+간장닭살볶음+물만두찜+시금치나물+백김치,잡곡밥+샤브샤브국+간장등갈비찜+청포묵김가루무침+애호박나물+백김치
2025-01-02,일반식,쌀밥+물만두국+버터갈릭새우+매콤어묵볶음+유채된장나물+포기김치,쌀밥+애호박찌개+수제떡갈비+소스+한식잡채+참나물겉절이+갓김치,잡곡밥+소고기미역국+고등어양념구이+야채계란찜+톳초무침+포기김치
2025-01-02,당뇨식,보리밥+물만두국+버터갈릭새우+매콤어묵볶음+유채된장나물+포기김치,보리밥+애호박찌개+수제떡갈비+소스+한식잡채+참나물겉절이+갓김치,잡곡밥+소고기미역국+고등어양념구이+야채계란찜+톳두부무침+포기김치
2025-01-02,연식,야채죽+물만두국+버터갈릭새우+어묵볶음+유채된장나물+백김치,맛살죽+호박된장국+수제떡갈비+한식잡채+참나물무침+백김치,버섯죽+소고기미역국+고등어구이+야채계란찜+톳두부무침+백김치
2025-01-02,저염식,쌀밥+물만두국+버터갈릭새우+어묵볶음+유채된장나물+백김치,쌀밥+호박된장국+수제떡갈비+한식잡채+참나물무침+백김치,잡곡밥+소고기미역국+고등어구이+야채계란찜+톳두부무침+백김치
2025-01-03,일반식,날치알주먹밥+단호박죽+모듬소세지볶음+딸기+볶음김치,쌀밥+두부된장국+미나리제육볶음+맛살팽이계란부침+도라지나물+깍두기,잡곡밥+콩나물맑은국+닭볶음탕+멸치볶음+달래오이무침+포기김치
2025-01-03,당뇨식,날치알주먹밥+단호박죽(달지않게)+모듬소세지볶음+딸기+볶음김치,보리밥+두부된장국+미나리제육볶음+맛살팽이계란부침+도라지나물+깍두기,잡곡밥+콩나물맑은국+닭볶음탕+두부계란전+달래오이무침+포기김치
